Sample ID,vegetation type,Site,Mangroves,Crucible Number / Label,Weight Crucible (g),Weight filled crucible (g) before 500°C,Weight of sediment (weight filled crucible - weight of crucible) ,Weight (g) filled crucible after 500°C,Weight of sediment (weight filled crucible after 500°C - weight of crucible),Mass lost,,Firing,Time In ,Time Out,Height of sample / cylinder sample (cm),Volume (cm^3),Weight post oven #1 (g),Bulk Density (g/cm^3),%LOI (% Lost on Ignition),%OC,Carbon Stock (t/ha): tons per hectare,Cumulative / 30cm depth,,,
U.1.2,Unveg,Adams,None,40,14.85,38.26,23.41,38.15,23.3,0.11,,"U1, U2, U3, S1, S2, S3",6:30 PM,6:00 AM,2,628.3185307,59.146,0.09413378264,0.4698846647,0.2443400256,0.4600130173,,,,10
U.1.4,Unveg,Adams,None,19,14.08,39.6,25.52,39.5,25.42,0.1,,"M1, M2, M3, UM1, UM2, UM3 (minus 8 samples from the tins*)",6:30 AM,12:45 PM,2,628.3185307,63.936,0.1017573044,0.3918495298,0.2037617555,0.4146849396,,,,
U.1.6,Unveg,Adams,None,C25,13.27,37.73,24.46,37.61,24.34,0.12,,"M.1.20, M.1.30, M.2.20, M.2.30, M.3.30, UM.2.20, UM.3.20, UM.3.30*remaining 8 samples from firing above, with seagrass first batch",~1:15PM,,2,628.3185307,69.576,0.1107336432,0.4905968929,0.2551103843,0.5649860455,,,,
U.1.8,Unveg,Adams,None,138,13.66,49.43,35.77,49.31,35.65,0.12,,,,,2,628.3185307,71.006,0.1130095589,0.3354766564,0.1744478613,0.3942855172,,,,
U.1.10,Unveg,Adams,None,23,15.35,47.76,32.41,47.67,32.32,0.09,,,,,2,628.3185307,71.906,0.1144419534,0.2776920703,0.1443998766,0.3305080789,,,,
U.1.20,Unveg,Adams,None,C29,14.85,40.74,25.89,40.63,25.78,0.11,,,,,10,3141.592654,354.446,0.1128236659,0.4248744689,0.2209347238,2.492666547,,,,
U.1.30,Unveg,Adams,None,3,13.35,48.01,34.66,47.79,34.44,0.22,,,,,10,3141.592654,390.676,0.1243560331,0.6347374495,0.3300634737,4.104538426,8.761682572,,,
U.2.2,Unveg,Adams,None,35,15.66,44.48,28.82,44.41,28.75,0.07,,,,,2,628.3185307,60.446,0.0962027969,0.2428868841,0.1263011797,0.2430105349,,,,
U.2.4,Unveg,Adams,None,APO,14.45,42.08,27.63,41.96,27.51,0.12,,,,,2,628.3185307,70.276,0.1118477278,0.434310532,0.2258414767,0.5051971202,,,,
U.2.6,Unveg,Adams,None,18,16.18,42.03,25.85,41.92,25.74,0.11,,,,,2,628.3185307,73.326,0.1167019536,0.4255319149,0.2212765957,0.5164682201,,,,
U.2.8,Unveg,Adams,None,88,15.62,47.99,32.37,47.82,32.2,0.17,,,,,2,628.3185307,57.876,0.09211251486,0.5251776336,0.2730923695,0.5031044989,,,,
U.2.10,Unveg,Adams,None,A9,15.64,45.96,30.32,45.79,30.15,0.17,,,,,2,628.3185307,67.296,0.1071049105,0.5606860158,0.2915567282,0.6245431457,,,,
U.2.20,Unveg,Adams,None,11,16.47,40.15,23.68,40.01,23.54,0.14,,,,,10,3141.592654,332.296,0.1057731019,0.5912162162,0.3074324324,3.251808202,,,,
U.2.30,Unveg,Adams,None,15,16.45,49.97,33.52,49.66,33.21,0.31,,,,,10,3141.592654,327.836,0.1043534398,0.9248210024,0.4809069212,5.018429148,10.66256087,,,
U.3.2,Unveg,Adams,None,M4,13.33,49.08,35.75,48.96,35.63,0.12,,,,,2,628.3185307,72.336,0.1151263196,0.3356643357,0.1745454545,0.4018955158,,,,
U.3.4,Unveg,Adams,None,52,15.18,43.3,28.12,43.19,28.01,0.11,,,,,2,628.3185307,84.296,0.1341612508,0.3911806543,0.2034139403,0.5458053732,,,,
U.3.6,Unveg,Adams,None,27,14.91,48.09,33.18,47.95,33.04,0.14,,,,,2,628.3185307,61.916,0.09854237456,0.4219409283,0.2194092827,0.4324222344,,,,
U.3.8,Unveg,Adams,None,55,16.36,43.15,26.79,43.05,26.69,0.1,,,,,2,628.3185307,56.006,0.08913631743,0.3732736096,0.194102277,0.3460312435,,,,
U.3.10,Unveg,Adams,None,33,15.04,47.85,32.81,47.71,32.67,0.14,,,,,2,628.3185307,75.416,0.1200282919,0.4266991771,0.2218835721,0.5326461231,,,,
U.3.20,Unveg,Adams,None,54,15.33,37.14,21.81,36.97,21.64,0.17,,,,,10,3141.592654,344.066,0.1095196093,0.7794589638,0.4053186612,4.439034141,,,,
U.3.30,Unveg,Adams,None,A2,13.56,40.99,27.43,40.79,27.23,0.2,,,,,10,3141.592654,332.436,0.1058176653,0.7291286912,0.3791469194,4.012044183,10.70987881,,,
S.1.2,Seagrass,Adams,None,K1,15.83,40.41,24.58,39.81,23.98,0.6,,,,,2,628.3185307,41.406,0.06589969574,2.44100895,1.269324654,1.67296217,,,,
S.1.4,Seagrass,Adams,None,34,16.61,41.99,25.38,41.34,24.73,0.65,,,,,2,628.3185307,60.426,0.09617096591,2.56107171,1.331757289,2.561527697,,,,
S.1.6,Seagrass,Adams,None,2,16.3,41.05,24.75,40.69,24.39,0.36,,,,,2,628.3185307,65.436,0.1041446286,1.454545455,0.7563636364,1.575424199,,,,
S.1.8,Seagrass,Adams,None,R3,17.27,42.94,25.67,42.6,25.33,0.34,,,,,2,628.3185307,56.046,0.08919997941,1.324503311,0.6887417219,1.228714948,,,,
S.1.10,Seagrass,Adams,None,36,17.2,47.92,30.72,47.68,30.48,0.24,,,,,2,628.3185307,68.936,0.1097150516,0.78125,0.40625,0.891434794,,,,
S.1.20,Seagrass,Adams,None,20,13.66,41.72,28.06,41.53,27.87,0.19,,,,,10,3141.592654,303.356,0.09656121383,0.6771204562,0.3521026372,3.399945804,,,,
S.1.30,Seagrass,Adams,None,15,16.06,46.43,30.37,46.23,30.17,0.2,,,,,10,3141.592654,372.816,0.1186710185,0.6585446164,0.3424432005,4.063808339,15.39381795,,,
S.2.2,Seagrass,Adams,None,9,16.97,43.19,26.22,42.52,25.55,0.67,,,,,2,628.3185307,44.816,0.0713268793,2.555301297,1.328756674,1.895521338,,,,
