Sample ID,vegetation type,Site,Mangroves,Crucible Number / Label,Weight Crucible (g),Weight filled crucible (g) before 500°C,Weight of sediment (weight filled crucible - weight of crucible) ,Weight (g) filled crucible after 500°C,Weight of sediment (weight filled crucible after 500°C - weight of crucible),Mass lost,Height of sample / cylinder sample (cm),Volume (cm^3),Weight post oven #1 (g),Bulk Density (g/cm^3),%LOI (% Lost on Ignition),%OC,Carbon Stock (t/ha): tons per hectare,Cumulative / 30cm depth,,Constants,
U.1.2,Unveg,Adams,None,40,14.85,38.26,23.41,38.15,23.3,0.11,2,628.3185307,59.146,0.09413378264,0.4698846647,0.2443400256,0.4600130173,,,Cylinder Radius (cm),10
U.1.4,Unveg,Adams,None,19,14.08,39.6,25.52,39.5,25.42,0.1,2,628.3185307,63.936,0.1017573044,0.3918495298,0.2037617555,0.4146849396,,,,
U.1.6,Unveg,Adams,None,C25,13.27,37.73,24.46,37.61,24.34,0.12,2,628.3185307,69.576,0.1107336432,0.4905968929,0.2551103843,0.5649860455,,,,
U.1.8,Unveg,Adams,None,138,13.66,49.43,35.77,49.31,35.65,0.12,2,628.3185307,71.006,0.1130095589,0.3354766564,0.1744478613,0.3942855172,,,,
U.1.10,Unveg,Adams,None,23,15.35,47.76,32.41,47.67,32.32,0.09,2,628.3185307,71.906,0.1144419534,0.2776920703,0.1443998766,0.3305080789,,,,
U.1.20,Unveg,Adams,None,C29,14.85,40.74,25.89,40.63,25.78,0.11,10,3141.592654,354.446,0.1128236659,0.4248744689,0.2209347238,2.492666547,,,,
U.1.30,Unveg,Adams,None,3,13.35,48.01,34.66,47.79,34.44,0.22,10,3141.592654,390.676,0.1243560331,0.6347374495,0.3300634737,4.104538426,8.761682572,,,
U.1.35,Unveg,Adams,None,5,13.67,40.88,27.21,40.75,27.08,0.13,5,1570.796327,186.536,0.1187525059,0.4777655274,0.2484380742,1.475132193,,,,
U.2.2,Unveg,Adams,None,35,15.66,44.48,28.82,44.41,28.75,0.07,2,628.3185307,60.446,0.0962027969,0.2428868841,0.1263011797,0.2430105349,,,,
U.2.4,Unveg,Adams,None,APO,14.45,42.08,27.63,41.96,27.51,0.12,2,628.3185307,70.276,0.1118477278,0.434310532,0.2258414767,0.5051971202,,,,
U.2.6,Unveg,Adams,None,18,16.18,42.03,25.85,41.92,25.74,0.11,2,628.3185307,73.326,0.1167019536,0.4255319149,0.2212765957,0.5164682201,,,,
U.2.8,Unveg,Adams,None,88,15.62,47.99,32.37,47.82,32.2,0.17,2,628.3185307,57.876,0.09211251486,0.5251776336,0.2730923695,0.5031044989,,,,
U.2.10,Unveg,Adams,None,A9,15.64,45.96,30.32,45.79,30.15,0.17,2,628.3185307,67.296,0.1071049105,0.5606860158,0.2915567282,0.6245431457,,,,
U.2.20,Unveg,Adams,None,11,16.47,40.15,23.68,40.01,23.54,0.14,10,3141.592654,332.296,0.1057731019,0.5912162162,0.3074324324,3.251808202,,,,
U.2.30,Unveg,Adams,None,15,16.45,49.97,33.52,49.66,33.21,0.31,10,3141.592654,327.836,0.1043534398,0.9248210024,0.4809069212,5.018429148,10.66256087,,,
U.2.40,Unveg,Adams,None,C25,13.25,38.68,25.43,38.28,25.03,0.4,10,3141.592654,396.626,0.1262499769,1.57294534,0.8179315769,10.32638427,,,,
U.3.2,Unveg,Adams,None,M4,13.33,49.08,35.75,48.96,35.63,0.12,2,628.3185307,72.336,0.1151263196,0.3356643357,0.1745454545,0.4018955158,,,,
U.3.4,Unveg,Adams,None,52,15.18,43.3,28.12,43.19,28.01,0.11,2,628.3185307,84.296,0.1341612508,0.3911806543,0.2034139403,0.5458053732,,,,
U.3.6,Unveg,Adams,None,27,14.91,48.09,33.18,47.95,33.04,0.14,2,628.3185307,61.916,0.09854237456,0.4219409283,0.2194092827,0.4324222344,,,,
